FL_Round,Epoch,Node_ID,Accuracy,Loss,Validation_Accuracy,Validation_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Aggregation_Time,FL_Round_Time,Convergence_Time
3,4,1,0.7911995053291321,0.5118625164031982,0.7909089922904968,0.5122011303901672,0,230,20295,76538,25.361668,11.789598941802979,1.0013580322265625e-05,0.0,73.35803389549255
3,5,1,0.7911995053291321,0.5118659734725952,0.7909089922904968,0.5121938586235046,0,230,20295,76538,3.0678377,10.316218852996826,0.0,88.88037371635437,73.35803389549255
4,1,1,0.7911995053291321,0.5118436813354492,0.7909089922904968,0.5122079849243164,0,230,20295,76538,22.085615,10.735177040100098,1.3828277587890625e-05,0.0,73.35803389549255
4,2,1,0.7911995053291321,0.5118566155433655,0.7909089922904968,0.512196958065033,0,230,20295,76538,32.688507,10.653986930847168,1.0013580322265625e-05,0.0,73.35803389549255
4,3,1,0.7911995053291321,0.5118631720542908,0.7909089922904968,0.5121912360191345,0,230,20295,76538,18.49772,10.666308164596558,1.0967254638671875e-05,0.0,73.35803389549255
4,4,1,0.7911995053291321,0.5118594169616699,0.7909089922904968,0.5121957063674927,0,230,20295,76538,1.4373827,10.015540838241577,1.0967254638671875e-05,0.0,73.35803389549255
4,5,1,0.7911995053291321,0.5118356347084045,0.7909089922904968,0.5121970176696777,0,230,20295,76538,29.523626,10.519542932510376,0.0,83.82447385787964,73.35803389549255
5,1,1,0.7911995053291321,0.5118502378463745,0.7909089922904968,0.5121932029724121,0,230,20295,76538,6.6984415,11.103480100631714,1.2159347534179688e-05,0.0,73.35803389549255
5,2,1,0.7911995053291321,0.5118515491485596,0.7909089922904968,0.5122040510177612,0,230,20295,76538,43.152622,11.222400188446045,1.0967254638671875e-05,0.0,73.35803389549255
5,3,1,0.7911995053291321,0.5118611454963684,0.7909089922904968,0.5121966600418091,0,230,20295,76538,25.757305,11.012891054153442,1.0013580322265625e-05,0.0,73.35803389549255
5,4,1,0.7911995053291321,0.5118468999862671,0.7909089922904968,0.512195348739624,0,230,20295,76538,26.241795,10.058674097061157,9.059906005859375e-06,0.0,73.35803389549255
5,5,1,0.7911995053291321,0.511854350566864,0.7909089922904968,0.5121952295303345,0,230,20295,76538,1.740942,9.467430114746094,0.0,84.23418807983398,73.35803389549255
6,1,1,0.7911995053291321,0.5118509531021118,0.7909089922904968,0.5122028589248657,0,230,20295,76538,36.660164,9.160056114196777,1.811981201171875e-05,0.0,73.35803389549255
6,2,1,0.7911995053291321,0.5118575096130371,0.7909089922904968,0.5121951103210449,0,230,20295,76538,26.437931,8.888151168823242,8.821487426757812e-06,0.0,73.35803389549255
6,3,1,0.7911995053291321,0.5118580460548401,0.7909089922904968,0.5121955275535583,0,230,20295,76538,15.501948,9.901329040527344,9.059906005859375e-06,0.0,73.35803389549255
6,4,1,0.7911995053291321,0.5118703842163086,0.7909089922904968,0.5121922492980957,0,230,20295,76538,16.733248,12.060785055160522,1.0013580322265625e-05,0.0,73.35803389549255
6,5,1,0.7911995053291321,0.5118662118911743,0.7909089922904968,0.5121886730194092,0,230,20295,76538,19.979324,10.56827974319458,0.0,80.34833717346191,73.35803389549255
7,1,1,0.7911995053291321,0.5118343830108643,0.7909089922904968,0.5121912360191345,0,230,20295,76538,6.2195635,10.044025897979736,1.0967254638671875e-05,0.0,73.35803389549255
7,2,1,0.7911995053291321,0.511843204498291,0.7909089922904968,0.5121957063674927,0,230,20295,76538,1.4054775,10.095908880233765,1.0013580322265625e-05,0.0,73.35803389549255
7,3,1,0.7911995053291321,0.5118479132652283,0.7909089922904968,0.5121933221817017,0,230,20295,76538,15.402552,9.963143110275269,8.821487426757812e-06,0.0,73.35803389549255
7,4,1,0.7911995053291321,0.5118529200553894,0.7909089922904968,0.5121944546699524,0,230,20295,76538,22.1563,9.52622103691101,1.0013580322265625e-05,0.0,73.35803389549255
7,5,1,0.7911995053291321,0.5118412971496582,0.7909089922904968,0.5121938586235046,0,230,20295,76538,3.3773918,9.695877075195312,0.0,79.56844902038574,73.35803389549255
8,1,1,0.7911995053291321,0.5118440389633179,0.7909089922904968,0.5121976137161255,0,230,20295,76538,69.14043,13.045804023742676,6.341934204101562e-05,0.0,73.35803389549255
8,2,1,0.7911995053291321,0.5118603706359863,0.7909089922904968,0.5121939778327942,0,230,20295,76538,15.901453,11.24331784248352,1.5020370483398438e-05,0.0,73.35803389549255
8,3,1,0.7911995053291321,0.5118452906608582,0.7909089922904968,0.5121926069259644,0,230,20295,76538,10.740147,12.585859775543213,1.0967254638671875e-05,0.0,73.35803389549255
8,4,1,0.7911995053291321,0.5118511915206909,0.7909089922904968,0.5122038125991821,0,230,20295,76538,37.82865,13.161805152893066,1.3113021850585938e-05,0.0,73.35803389549255
8,5,1,0.7911995053291321,0.5118488669395447,0.7909089922904968,0.5121937394142151,0,230,20295,76538,13.375631,12.238074779510498,0.0,99.3317711353302,73.35803389549255
9,1,1,0.7911995053291321,0.5118533372879028,0.7909089922904968,0.5121939182281494,0,230,20295,76538,4.9072094,10.340135097503662,4.00543212890625e-05,0.0,73.35803389549255
